topic_id,word,accent,mean_cn,freq,word_length,source_table,options,tag_id,word_level_id
5108,specialist,/ˈspeʃəlɪst/,n. 专家；专科医生；  adj. 专家的；专业的；专门的,7.0,10,dict_s,"[8650, 467560, 2328]",0,564
7246,peaceful,/ˈpiːsfl/,adj. 平静的，安宁的；和平的,5.0,8,dict_p_r,"[1050, 4440, 4768]",0,564
1023,endeavor,/ɪnˈdevər/,n. 尝试，努力，尽力；  v. 努力，尽力,8.0,8,dict_d_f,"[5345, 4960, 8410]",0,564
7274,tune,/tuːn/,v. 给……调音；调整，校准；调频道；  n. 调音；曲调，旋律，曲子；协调,7.0,4,dict_t_z,"[683, 390981, 15895]",0,564
10562,endure,/ɪnˈdʊr/,v. 忍受，容忍；持久，持续,7.0,6,dict_d_f,"[19899, 6392, 467038]",0,564
7285,trail,/treɪl/,n. 小径，路径；记号，痕迹，线索；  v. 拽；跟；落后于；追赶；（烟等）袅袅升起,7.0,5,dict_t_z,"[6304, 537, 4941]",0,564
2205,recreation,"/ˌriːkriˈeɪʃn/, /ˌrekriˈeɪʃən/",n. 娱乐活动；消遣；游戏；重现，重建（读作/ˌriːkri'eɪʃən/）；（身心）修养,7.0,10,dict_p_r,"[6349, 390855, 8929]",0,564
9023,hike,/haɪk/,n. 远足，徒步旅行；（数量、价格等）增加，上升；  v. 徒步旅行；使高涨，提高（价格）,7.0,4,dict_g_k,"[11195, 9650, 8929]",0,564
5203,monarch,/ˈmɑːnərk/,n. 君主，帝王；统治者,8.0,7,dict_l_o,"[4106, 17308, 589]",0,564
9167,tutor,/ˈtuːtər/,n. 家庭教师，指导教师；（英国大学中的）助教；导师；  v. 个别指导；当……的家庭教师；做......的家教,7.0,5,dict_t_z,"[4528, 9457, 6752]",0,564
8400,purchase,/ˈpɜːrtʃəs/,vt. 购买；采购；  n. 购买；购买的东西,6.0,8,dict_p_r,"[5784, 5294, 6456]",0,564
10294,various,/ˈveəriəs/,adj. 各种各样的，不同的,5.0,7,dict_t_z,"[2222, 4365, 6376]",0,564
9234,sturdy,/ˈstɜːrdi/,adj. 结实的，坚固的；坚固的；强壮的，健壮的；健壮的；  n. （羊的）晕倒病,9.0,6,dict_s,"[17335, 9353, 6702]",0,564
15331,lamb,/læm/,n. 羔羊；羊羔肉,6.0,4,dict_l_o,"[10159, 8737, 14918]",0,564
6790,rotten,/ˈrɑːtn/,adj. 腐烂的，腐朽的；糟糕的；  adv. 很大程度上；非常,8.0,6,dict_p_r,"[5438, 13283, 6040]",0,564
31,acclaim,/əˈkleɪm/,n. 欢呼，赞扬，称赞；  vt. 欢呼，喝彩；推选,10.0,7,dict_a_b,"[10114, 4095, 947]",0,564
9905,response,/rɪˈspɑːns/,n. 回应；回答，答复；响应；反应,6.0,8,dict_p_r,"[653, 16086, 7172]",0,564
149,amplify,/ˈæmplɪfaɪ/,v. 放大（声音等）；扩大；增强；详述；进一步阐述,9.0,7,dict_a_b,"[4162, 5472, 3866]",0,564
16588,government,/ˈɡʌvərnmənt/,n. 政府；治理；政治,2.0,10,dict_g_k,"[4774, 8513, 1121]",0,564
348,bound,/baʊnd/,adj. 必然的；有义务的；受约束的，（在法律或道德上）有义务的；正在到……去的；准备前往（某地）；可能的；与…密切相关的；  v. 束缚；跳跃着前行；  n. 跳跃；范围；界限,6.0,5,dict_a_b,"[4594, 2307, 726]",0,564
6949,income,/ˈɪnkʌm/,n. 收入，收益；利润,5.0,6,dict_g_k,"[6838, 5426, 6404]",0,564
545,complexity,/kəmˈpleksəti/,n. 复杂性,9.0,10,dict_c,"[990, 7129, 8212]",0,564
9027,glossary,/ˈɡlɑːsəri/,n. 词汇表，术语汇编,9.0,8,dict_g_k,"[15206, 2284, 1676]",0,564
589,confusion,/kənˈfjuːʒn/,n. 困惑；混淆；混乱；窘迫,6.0,9,dict_c,"[7509, 1669, 4100]",0,564
17032,leaf,/liːf/,n. 叶；（书的）页，张,4.0,4,dict_l_o,"[6335, 9133, 2446]",0,564
862,devour,/dɪˈvaʊər/,v. 狼吞虎咽；毁灭；贪婪地看，贪婪地阅读,9.0,6,dict_d_f,"[10689, 6006, 5265]",0,564
5584,procedure,/prəˈsiːdʒər/,n. 步骤；程序；手续；手术,7.0,9,dict_p_r,"[6033, 17334, 6142]",0,564
969,drought,/draʊt/,n. 干旱，旱灾,6.0,7,dict_d_f,"[9231, 5178, 11462]",0,564
2418,specialty,/ˈspeʃəlti/,n. 特色菜；专业，专长；特点,9.0,9,dict_s,"[218, 65, 3875]",0,564
1137,fabrication,/ˌfæbrɪˈkeɪʃn/,n. 制作；构成；捏造；伪造物；装配,9.0,11,dict_d_f,"[390954, 4261, 6499]",0,564
2250,reproach,/rɪˈproʊtʃ/,v. 责备，指责；  n. 指责,8.0,8,dict_p_r,"[6751, 3980, 4525]",0,564
1181,fleet,/fliːt/,n. 舰队，船队；车队；机群；  adj. 迅速的,7.0,5,dict_d_f,"[462086, 5596, 493125]",0,564
5995,toxic,/ˈtɑːksɪk/,n. 毒物；  adj. 有毒的；中毒的；令人极不愉快的，极其有害的，恶毒的,8.0,5,dict_t_z,"[6129, 4275, 6357]",0,564
1278,glare,/ɡler/,v. 怒目而视；发出强光；  n. 眩目的光；瞪眼,6.0,5,dict_g_k,"[2112, 4768, 5673]",0,564
4233,offset,/ˈɔːfset/,v. 抵消；补偿；  adj. 胶印的，透印版印刷的；  n. 分支；抵消；补偿,9.0,6,dict_l_o,"[2238, 18196, 4591]",0,564
1295,gorge,/ɡɔːrdʒ/,n. 峡谷；胃；暴食；咽喉；障碍物；  v. 拼命吃；吞下，狼吞虎咽；塞满，填满,8.0,5,dict_g_k,"[9757, 17685, 427923]",0,564
5804,strain,/streɪn/,n. 负担，压力；紧张；拉力；拉伤；（生物体）品种，种类；血缘；  v. 拉紧；劳累；过度使用；扭伤；努力做,7.0,6,dict_s,"[16845, 4520, 4549]",0,564
1386,haze,/heɪz/,n. 薄雾，雾气；烟雾；疑惑，迷糊；  vt. （使）变朦胧；（使）变糊涂；戏弄，欺凌（新生）,10.0,4,dict_g_k,"[4158, 1874, 5868]",0,564
4168,propaganda,/ˌprɑːpəˈɡændə/,n. 宣传；宣传方法,9.0,10,dict_p_r,"[4084, 9288, 19539]",0,564
1571,ingenuity,/ˌɪndʒəˈnuːəti/,n. 机灵，心灵手巧，创造力,8.0,9,dict_g_k,"[6384, 419099, 5828]",0,564
5886,extravagant,/ɪkˈstrævəɡənt/,adj. 奢侈的，无节制的,8.0,11,dict_d_f,"[4519, 4202, 199]",0,564
1669,isolation,/ˌaɪsəˈleɪʃn/,n. 孤独，孤立状态；孤立；隔离；与世隔绝，远离尘世；【电】绝缘；【化学】离析；（化）离析,9.0,9,dict_g_k,"[7828, 4062, 5199]",0,564
3924,voluntary,/ˈvɑːlənteri/,adj. 自愿的；无偿的；志愿的；  n. 即兴曲,7.0,9,dict_t_z,"[4158, 8196, 6707]",0,564
1753,livestock,/ˈlaɪvstɑːk/,n. 家畜，牲畜,10.0,9,dict_l_o,"[5595, 10875, 6270]",0,564
773,deduce,/dɪˈduːs/,v. 演绎；推论，推断,8.0,6,dict_d_f,"[14077, 427923, 5031]",0,564
1765,lounge,/laʊndʒ/,n. 候机室，休息室，酒吧间；沙发，躺椅；懒散的步子；  v. 倚，躺；闲逛,7.0,6,dict_l_o,"[2253, 6313, 10980]",0,564
5820,remind,/rɪˈmaɪnd/,v. 提醒；  vt. 使想起,6.0,6,dict_p_r,"[14984, 4386, 12372]",0,564
1820,meadow,/ˈmedoʊ/,n. 草地,8.0,6,dict_l_o,"[6273, 2061, 18458]",0,564
9001,provoke,/prəˈvoʊk/,v. 挑衅，激怒；引起；对……挑衅,8.0,7,dict_p_r,"[7937, 1541, 8078]",0,564
1960,numerical,/nuːˈmerɪkl/,adj. 数字的，用数字表示的,9.0,9,dict_l_o,"[1586, 6984, 8448]",0,564
11462,passive,/ˈpæsɪv/,adj. 被动的；消极的；顺从的；  n. 被动语态,7.0,7,dict_p_r,"[15252, 19602, 5807]",0,564
2031,paralysis,/pəˈræləsɪs/,n. 瘫痪（症），麻痹（症）,9.0,9,dict_p_r,"[6408, 16024, 14989]",0,564
5902,thrill,/θrɪl/,n. 兴奋；狂喜；引起激动的事物；惊险，刺激；激动；  v. （使）非常兴奋；激动；狂喜,7.0,6,dict_t_z,"[4043, 5330, 10553]",0,564
2056,pendulum,/ˈpendʒələm/,n. 摆，钟摆；摇摆不定的事态（或局面）,9.0,8,dict_p_r,"[5590, 5767, 6399]",0,564
4270,cumulative,/ˈkjuːmjəleɪtɪv/,adj. 渐增的；累积的,8.0,10,dict_c,"[11079, 8576, 6628]",0,564
2061,perch,/pɜːrtʃ/,v. （使）栖息，就位；  n. 栖木；有利的地位；杆；河鲈,8.0,5,dict_p_r,"[4095, 11514, 18290]",0,564
2200,reconciliation,/ˌrekənsɪliˈeɪʃn/,n. 和解，和好；修好；调停，调解,9.0,14,dict_p_r,"[5325, 473868, 6692]",0,564
2306,rusty,/ˈrʌsti/,adj. 生锈的；荒废的,7.0,5,dict_p_r,"[467007, 7499, 561]",0,564
6456,cocaine,/koʊˈkeɪn/,n. 可卡因,8.0,7,dict_c,"[11419, 6231, 372854]",0,564
2569,turmoil,/ˈtɜːrmɔɪl/,n. 骚动，混乱,9.0,7,dict_t_z,"[537, 4586, 10916]",0,564
1232,fraud,/frɔːd/,n. 欺诈，诈骗；骗子,9.0,5,dict_d_f,"[1618, 4401, 999]",0,564
2657,pesticide,/ˈpestɪsaɪd/,n. 杀虫剂，除害药物；农药,8.0,9,dict_p_r,"[5791, 799, 391557]",0,564
5254,complement,"/ˈkɑmpləˌmɛnt/, /ˈkɑmpləmənt/",v. 补充；与……相配（读作/ˈkɑmpləˌmɛnt/）；  n. 补充；互为补充的东西；补语（读作/ˈkɑmpləmənt/）,9.0,10,dict_c,"[3037, 8062, 2768]",0,564
2707,injection,/ɪnˈdʒekʃn/,n. 打针；注射，注入；充满,6.0,9,dict_g_k,"[2323, 15207, 18736]",0,564
8451,outrage,/ˈaʊtreɪdʒ/,n. 残暴，暴行；愤怒；  v. 使震怒，使愤慨,9.0,7,dict_l_o,"[407323, 16055, 474033]",0,564
2733,airplane,/ˈerpleɪn/,n. 飞机,6.0,8,dict_a_b,"[4641, 8806, 1803]",0,564
2692,inevitable,/ɪnˈevɪtəbl/,adj. 不可避免的，必然的；  n. 必然发生的事,8.0,10,dict_g_k,"[469743, 7482, 440702]",0,564
3847,hop,/hɑːp/,v. 单脚跳，跳过；乘坐；  n. 单脚跳跃；蛇麻草；（非正式）舞会；啤酒花（复数）,8.0,3,dict_g_k,"[1006, 16413, 6530]",0,564
6357,innovation,/ˌɪnəˈveɪʃn/,n. 创新，革新；新事物，新方法；创造,9.0,10,dict_g_k,"[660, 10562, 6040]",0,564
3851,offer,/ˈɔːfər/,n. 提供；特价；出价；录取（或录用）通知书；提议；给予（物）；  v. 奉上；表示愿意 (做某事)；提供；出价；给予；自愿给予；贡献，奉献；提议；出现；求婚,4.0,5,dict_l_o,"[8208, 4464, 7613]",0,564
4731,junk,/dʒʌŋk/,n. 垃圾，废旧物品；  v. 把……（当废物）丢弃,7.0,4,dict_g_k,"[15207, 4523, 8360]",0,564
3918,vehicle,/ˈviːəkl/,n. 车辆；交通工具；传播媒介；工具，手段,6.0,7,dict_t_z,"[4222, 5284, 8376]",0,564
4089,cite,/saɪt/,vt. 引用，引证；传唤，传讯；表彰，嘉奖；提到；  n. 引用，引文,8.0,4,dict_c,"[1810, 665, 4210]",0,564
3942,alongside,/əˌlɔːŋˈsaɪd/,prep. 在旁边，并排地，并肩地；在旁边，和……并排；和……一起；和......同时,7.0,9,dict_a_b,"[561, 4164, 1674]",0,564
6040,indignant,/ɪnˈdɪɡnənt/,adj. 愤慨的，愤愤不平的,8.0,9,dict_g_k,"[432817, 8863, 316]",0,564
3969,distribute,/dɪˈstrɪbjuːt/,v. 分发；分配；配送；分布,7.0,10,dict_d_f,"[4763, 4738, 2222]",0,564
5294,cannon,/ˈkænən/,n. 大炮；机关炮；  v. 相撞；开炮,7.0,6,dict_c,"[421690, 10146, 11044]",0,564
4010,hardware,/ˈhɑːrdwer/,n. 五金器具；（计算机）硬件；重武器,8.0,8,dict_g_k,"[5349, 438770, 6313]",0,564
4344,flare,/fler/,v. 燃烧；突然发怒；闪耀，闪光；使闪亮；张开；  n. 照明弹；摇曳的火焰；闪光，闪耀；闪光信号,9.0,5,dict_d_f,"[495109, 4382, 5648]",0,564
4069,vessel,/ˈvesl/,n. 船，舰；容器；血管,7.0,6,dict_t_z,"[430983, 239, 7284]",0,564
5595,commitment,/kəˈmɪtmənt/,n. 承诺，许诺；承担的义务；赞助；委托；信奉；奉献，献身；保证；投入，花费；忠诚,7.0,10,dict_c,"[467588, 990, 6371]",0,564
4116,ridge,/rɪdʒ/,n. 脊，山脉；隆起,7.0,5,dict_p_r,"[1803, 854, 1742]",0,564
6158,tenant,/ˈtenənt/,n. 承租人，租客，佃户,8.0,6,dict_t_z,"[4858, 3851, 5912]",0,564
4170,leaflet,/ˈliːflət/,n. 传单，散页的印刷品；小册子,7.0,7,dict_l_o,"[1000, 4200, 5553]",0,564
4026,reward,/rɪˈwɔːrd/,n. 奖品；回报；报酬；酬金；  vt. 奖励，奖赏；报答；酬谢,6.0,6,dict_p_r,"[9127, 11138, 6979]",0,564
9991,fuse,/fjuːz/,n. 导火线，引信；保险丝；  v. （使）熔断；熔合，合并,8.0,4,dict_d_f,"[17035, 5834, 6508]",0,564
15925,sudden,/ˈsʌdn/,adj. 突然的，意外的,3.0,6,dict_s,"[512036, 9650, 10959]",0,564
470044,culmination,/ˌkʌlmɪˈneɪʃn/,n. 最高潮；顶点,8.0,11,dict_c,"[5992, 478442, 9627]",0,564
4192,strengthen,/ˈstreŋθn/,v. 增强；巩固；加强；（使）更强烈，（使）更紧密,7.0,10,dict_s,"[4401, 13045, 2993]",0,564
8108,risk,/rɪsk/,n. 风险；危险；冒险；  vt. 冒……的危险,4.0,4,dict_p_r,"[4611, 6475, 5136]",0,564
8549,stark,/stɑːrk/,adv. 完全，十足；（区别）明显地；  adj. 完全的，十足的；（区别）明显的；荒凉的，了无装饰的；严酷的，赤裸裸的,9.0,5,dict_s,"[8770, 791, 5182]",0,564
11153,infrastructure,/ˈɪnfrəstrʌktʃər/,n. 基础设施,9.0,14,dict_g_k,"[6171, 4220, 808]",0,564
5716,stable,/ˈsteɪbl/,adj. 稳定的；安定的；牢固的；稳重的；  n. 马厩；  vt. 使（马）入厩,7.0,6,dict_s,"[5858, 4147, 10312]",0,564
4249,segment,"/ˈsɛgmənt/, /ˈsɛgmɛnt/",n. 部分；片段；（橘子等的）瓣（读作/ˈsɛgmənt/）；  v. 分割（读作/ˈsɛgmɛnt/）,8.0,7,dict_s,"[2528, 4220, 474607]",0,564
1718,legacy,/ˈleɡəsi/,n. 遗赠（物）；遗产,8.0,6,dict_l_o,"[4286, 1195, 19896]",0,564
6751,garlic,/ˈɡɑːrlɪk/,n. 大蒜,7.0,6,dict_g_k,"[10571, 1882, 19558]",0,564
6129,residential,/ˌrezɪˈdenʃl/,adj. 住宅的，居住的；寄宿的,8.0,11,dict_p_r,"[5594, 8590, 5146]",0,564
17334,country,/ˈkʌntri/,n. 国家；乡村；（按地理特点划分的）地区；区域,1.0,7,dict_c,"[881, 5620, 19505]",0,564
4286,recipient,/rɪˈsɪpiənt/,n. 接受者；容器；间接宾语；  adj. 接受的；善于接受的，接受能力强的,8.0,9,dict_p_r,"[6158, 3926, 8266]",0,564
6702,fusion,/ˈfjuːʒn/,n. 融合，合并；核聚变；熔合物,9.0,6,dict_d_f,"[2250, 6643, 476531]",0,564
4781,academic,/ˌækəˈdemɪk/,adj. 学术的；学院的；理论的；  n. 学者；学科,6.0,8,dict_a_b,"[6125, 4581, 11482]",0,564
3850,provided,/prəˈvaɪdɪd/,conj. 如果，以……为条件；  adj. 预备好的；  v. 提供（provide的过去式）,7.0,8,dict_p_r,"[475832, 2158, 7236]",0,564
565,concession,/kənˈseʃn/,n. 让步；特许，特许权；承认,8.0,10,dict_c,"[6518, 503, 4493]",0,564
4288,mansion,/ˈmænʃn/,n. 官邸，巨宅，公馆,9.0,7,dict_l_o,"[2949, 901, 7487]",0,564
6820,spark,/spɑːrk/,n. 火花，火星；丝毫，微量；活力；  v. 发出火花；发动；激励；引发；热烈赞同；点燃,8.0,5,dict_s,"[14944, 7298, 7617]",0,564
10265,enrich,/ɪnˈrɪtʃ/,vt. 使丰富；使富裕,8.0,6,dict_d_f,"[4464, 6834, 6601]",0,564
4022,retail,/ˈriːteɪl/,adj. 零售的；  n. 零售；  v. 零售；  adv. 以零售形式,9.0,6,dict_p_r,"[6171, 8361, 149]",0,564
8248,notorious,/noʊˈtɔːriəs/,adj. 臭名昭著的，声名狼藉的,9.0,9,dict_l_o,"[7827, 8565, 5757]",0,564
4322,tract,/trækt/,n. 【生】道，束；一大片地；短文，小册子,8.0,5,dict_t_z,"[5906, 13121, 6601]",0,564
6391,peer,/pɪr/,n. 同龄人；同等地位的人；贵族；同辈；同类；  v. 仔细看,7.0,4,dict_p_r,"[7819, 1028, 8210]",0,564
472288,futility,/fjuːˈtɪləti/,n. 无用；无益；无价值,8.0,8,dict_d_f,"[522, 5143, 8859]",0,564
6637,minor,/ˈmaɪnər/,adj. 较小的；次要的；未成年的；轻微的；（音乐）小调的；  n. 副修科目；未成年人,8.0,5,dict_l_o,"[5770, 139, 5762]",0,564
6643,excitement,/ɪkˈsaɪtmənt/,n. 刺激，激动；兴奋,5.0,10,dict_d_f,"[16773, 517, 8030]",0,564
4324,span,/spæn/,n. 跨度；时间段；小范围，短距离；持续时间；一段时间，时间跨度；  v. 持续，贯穿（时间）；横跨；包括,8.0,4,dict_s,"[470460, 6405, 414409]",0,564
5426,potent,/ˈpoʊtnt/,adj. 强有力的；有权势的；有说服力的；强效力的，烈性的,10.0,6,dict_p_r,"[7941, 9530, 2253]",0,564
5799,composition,/ˌkɑːmpəˈzɪʃn/,n. 【化】成分；构成，组成，成分；作品，乐曲；作文；合成物；创作；（绘画或照片的）构图，构思，布局；【化学】构成，结构；【术语】印刷排版，排字,6.0,11,dict_c,"[17685, 9812, 4773]",0,564
8969,impact,"/ˈɪmˌpækt/, /ɪmˈpækt/",n. 影响；强大作用；冲击力；碰撞，冲击（读作/ˈɪmˌpækt/）；  v. 碰撞，冲击；压紧；影响；有影响（读作/ɪmˈpækt/）,7.0,6,dict_g_k,"[7867, 6589, 5697]",0,564
4220,evaluate,/ɪˈvæljueɪt/,vt. 评价；评估；估计,8.0,8,dict_d_f,"[1121, 11375, 139]",0,564
4350,impart,/ɪmˈpɑːrt/,v. 传授；赋予，给予,9.0,6,dict_g_k,"[761, 8357, 6624]",0,564
5185,disastrous,/dɪˈzæstrəs/,adj. 灾难性的,8.0,10,dict_d_f,"[4197, 4217, 4941]",0,564
4106,filter,/ˈfɪltər/,n. 过滤器；滤纸；  v. 过滤，渗透；(新闻、信息等) 逐渐传开,8.0,6,dict_d_f,"[18906, 726, 5974]",0,564
5420,concern,/kənˈsɜːrn/,n. 关心；担心；担忧；所关切的事；（利害）关系；关注；  v. 感兴趣；涉及；担心；关于,6.0,7,dict_c,"[2056, 413, 5822]",0,564
4202,prestige,/preˈstiːʒ/,n. 威望，声望,8.0,8,dict_p_r,"[5646, 4004, 5221]",0,564
4436,perplex,/pərˈpleks/,v. 使困惑,9.0,7,dict_p_r,"[5796, 9212, 4730]",0,564
16446,education,/ˌedʒuˈkeɪʃn/,n. 教育，培养；教育学,4.0,9,dict_d_f,"[10146, 5784, 228]",0,564
7236,violate,/ˈvaɪəleɪt/,v. 违反，违背；侵犯，妨碍；亵渎,8.0,7,dict_t_z,"[467022, 7503, 10417]",0,564
4753,temptation,/tempˈteɪʃn/,n. 诱惑，引诱,6.0,10,dict_t_z,"[761, 11571, 6713]",0,564
4460,furious,/ˈfjʊriəs/,adj. 狂怒的；愤怒的；猛烈的,8.0,7,dict_d_f,"[7394, 478770, 5755]",0,564
19275,whether,/ˈweðər/,conj. 是否；会不会；不管，无论,1.0,7,dict_t_z,"[268054, 8404, 881]",0,564
9223,community,/kəˈmjuːnəti/,n. 群体，团体；人群，很多个体的集合体；社区；群落；社会,5.0,9,dict_c,"[7482, 5864, 151]",0,564
9775,benign,/bɪˈnaɪn/,adj. 仁慈的，和善的；无害的；（病）良性的,9.0,6,dict_a_b,"[6174, 1849, 856]",0,564
15132,addiction,/əˈdɪkʃn/,n. 上瘾，沉溺,10.0,9,dict_a_b,"[10952, 9925, 7100]",0,564
4740,erect,/ɪˈrekt/,v. 建造，建立；搭建，竖起；  adj. 直立的，垂直的,8.0,5,dict_d_f,"[4118, 9013, 4158]",0,564
1230,fragrant,/ˈfreɪɡrənt/,adj. 芬芳的；香的,7.0,8,dict_d_f,"[477578, 4122, 5090]",0,564
6953,potential,/pəˈtenʃl/,n. 潜力，潜能；可能性；  adj. 潜在的，可能的,7.0,9,dict_p_r,"[10263, 2953, 391675]",0,564
8929,misleading,/ˌmɪsˈliːdɪŋ/,adj. 误导的；将人引入歧途的；  v. 给……带错路；把……引入歧途,9.0,10,dict_l_o,"[8600, 6536, 8266]",0,564
9894,contain,/kənˈteɪn/,v. 包含，容纳；自制，抑制，克制；控制,5.0,7,dict_c,"[652, 6179, 818]",0,564
4916,preside,/prɪˈzaɪd/,v. 主持,8.0,7,dict_p_r,"[2210, 4965, 925]",0,564
2284,revelation,/ˌrevəˈleɪʃn/,n. 揭露；揭示；（出乎意料的）被揭示的真相,8.0,10,dict_p_r,"[11223, 6764, 5990]",0,564
1752,livelihood,/ˈlaɪvlihʊd/,n. 生计，营生，谋生方式,8.0,10,dict_l_o,"[6296, 4621, 9447]",0,564
14976,default,/dɪˈfɔːlt/,n. 违约；缺席；缺乏；默认；  vi. 不履行义务；拖欠；  vt. 不履行；不参加,9.0,7,dict_d_f,"[6121, 9634, 1459]",0,564
6959,raise,/reɪz/,v. 举起，抬高；抚养；提起，提出；饲养，种植；起身，站立；筹集，筹（钱）；增加；提高；引起，唤起；加薪；提高，增加，上升；养育；升起；  n. 上升，加薪；高地,4.0,5,dict_p_r,"[12546, 1752, 5362]",0,564
4960,conference,/ˈkɑːnfərəns/,n. 会议；讨论会；正式会谈,5.0,10,dict_c,"[19568, 2780, 4528]",0,564
3875,setting,/ˈsetɪŋ/,n. 设置，调整；（机器、仪器等调控装置的）设定位置、调节点；环境，背景；（小说等的）情节背景；舞台布置；全套餐具；（太阳、月球或行星）降于地平线之下，下落,6.0,7,dict_s,"[5880, 10761, 1086]",0,564
5505,collide,/kəˈlaɪd/,v. 碰撞；互撞；抵触；争执；不一致；冲突,8.0,7,dict_c,"[8436, 15905, 8963]",0,564
1000,embark,/ɪmˈbɑːrk/,v. 上船，登机；开始，着手；从事,9.0,6,dict_d_f,"[10562, 851, 9627]",0,564
5957,steep,/stiːp/,v. 浸，泡；  adj. 陡峭的；急剧的；过高的；不合理的；（数量上的上升或下降）大起大落的,6.0,5,dict_s,"[139, 5975, 4730]",0,564
